Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-12-28,2023-12-28,936,Amazon.com*MH0VK8JM3,Merchandise,107.54,
2023-12-24,2023-12-26,936,SPEEDWAY 09685 LOUISVI,Gas/Automotive,34.78,
2023-12-24,2023-12-26,936,FSP*FLEET FEET LOUISVI,Healthcare,37.1,
2023-12-24,2023-12-26,936,LEVELUPHEINEBROTHERS0,Dining,7.99,
2023-12-23,2023-12-23,936,DWB*DOCTORS W/O BORDER,Other Services,40.0,
2023-12-22,2023-12-23,936,TARGET        00007807,Merchandise,16.11,
2023-12-20,2023-12-22,936,SHEETZ 0387   00003871,Gas/Automotive,31.61,
2023-12-20,2023-12-22,936,SHEETZ 0387   00003871,Gas/Automotive,6.27,
2023-12-20,2023-12-21,936,DUNKIN #349677,Dining,6.03,
2023-12-18,2023-12-19,936,SHEPHERD S,Merchandise,18.5,
2023-12-17,2023-12-19,936,CIRCLE K 05266,Merchandise,4.71,
2023-12-17,2023-12-18,936,JIMMY JOHNS - 2816,Dining,10.11,
2023-12-17,2023-12-18,936,CIRCLE K 05266,Gas/Automotive,21.94,
2023-12-17,2023-12-18,936,TARGET        00012187,Merchandise,9.37,
2023-12-16,2023-12-18,936,IHOP 3324,Dining,20.43,
2023-12-16,2023-12-18,936,KROGER FUEL #8379,Gas/Automotive,29.95,
2023-12-16,2023-12-18,936,TARGET        00007807,Merchandise,27.85,
2023-12-16,2023-12-16,936,AMZN Mktp US*C241L6333,Merchandise,20.12,
2023-12-15,2023-12-16,936,TARGET        00024737,Merchandise,42.39,
2023-12-14,2023-12-15,936,AMZN Mktp US*6C93A8WY3,Merchandise,21.19,
2023-12-14,2023-12-15,936,OLIVE GARDEN ZK 002449,Dining,67.02,
2023-12-13,2023-12-15,936,2768PEPSIVEN9147678600,Dining,3.5,
2023-12-13,2023-12-14,936,TARGET        00014472,Merchandise,38.67,
2023-12-12,2023-12-13,936,WILLIS MUSIC KENWOOD G,Merchandise,7.54,
2023-12-12,2023-12-13,936,KROGER #402,Merchandise,2.41,
2023-12-10,2023-12-12,936,XAVIER U CAMPUS STORE1,Merchandise,0.59,
2023-12-10,2023-12-11,936,WARNER MUSIC GROUP,Merchandise,41.33,
2023-12-09,2023-12-11,936,Subway 18103,Dining,7.19,
2023-12-09,2023-12-11,936,TARGET        00014472,Merchandise,16.16,
2023-12-09,2023-12-09,936,Amazon.com*Y56ZR7243,Merchandise,34.39,
2023-12-07,2023-12-08,936,2264 GREAT CLIPS AT NO,Other Services,23.0,
2023-12-07,2023-12-08,936,KROGER #465,Merchandise,38.67,
2023-12-05,2023-12-06,936,CVS/PHARMACY #02764,Health Care,50.25,
2023-12-02,2023-12-05,936,MARATHON PETRO120170,Gas/Automotive,32.12,
2023-12-03,2023-12-04,936,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,25.0
2023-12-03,2023-12-04,936,DUNKIN #349949,Dining,4.54,
2023-12-03,2023-12-04,936,CAPITAL ONE ONLINE PYMT,Payment/Credit,,1002.52
2023-12-02,2023-12-04,936,CAPPYS NORWOOD,Merchandise,3.89,
2023-12-03,2023-12-04,936,KROGER #402,Merchandise,5.39,
2023-12-02,2023-12-04,936,KROGER #355,Merchandise,2.51,
2023-12-01,2023-12-02,936,TROPICAL SMOOTHIE CAFE,Dining,16.08,
2023-12-01,2023-12-02,936,TARGET        00014472,Merchandise,52.85,
2023-12-01,2023-12-02,936,SLUGGERGIFTS.COM,Entertainment,94.33,
2023-07-15,2023-07-17,5261,KROGER #5224,Merchandise,74.97,
2023-07-14,2023-07-17,5261,HUMANA CLOCKTOWER FIT,Other,16.96,
2023-07-16,2023-07-17,13,LYFT *RIDE SUN 1PM,Other Travel,10.0,
2023-07-14,2023-07-17,13,M. BIRD,Dining,13.83,
2023-07-16,2023-07-17,405,2264 GREAT CLIPS AT NORWO,Other Services,21.0,
2023-07-16,2023-07-17,405,HOTELSCOM7260897736742,Other Travel,152.11,
2023-07-16,2023-07-17,405,Subway 18103,Dining,6.98,
2023-07-16,2023-07-17,405,UBER EATS,Dining,25.98,
2023-07-15,2023-07-17,405,SHELL OIL 57443022405,Gas/Automotive,43.05,
2023-07-15,2023-07-17,5261,SPEEDWAY 08132 2300 BROWN,Gas/Automotive,6.77,
2023-07-14,2023-07-17,5261,CAPTAIN'S CELLARS,Merchandise,25.16,
2023-07-15,2023-07-17,5261,KROGER #224,Merchandise,20.26,
2023-07-15,2023-07-17,5261,BESPOKE POST,Merchandise,57.19,
2023-07-16,2023-07-17,13,LYFT *RIDE SAT 11PM,Other Travel,11.0,
2023-07-16,2023-07-17,13,LYFT *RIDE SAT 4PM,Other Travel,11.0,
2023-07-15,2023-07-17,13,TST* Oxford Exchange,Dining,30.6,
2023-07-15,2023-07-17,13,LYFT *RIDE SAT 11AM,Other Travel,12.0,
2023-07-15,2023-07-17,13,LYFT *RIDE SAT 11AM,Other Travel,11.0,
2023-07-15,2023-07-17,13,LS OXFORD EXCHANGE,Merchandise,59.1,
2023-07-15,2023-07-17,405,DUNKIN #349677,Dining,4.69,
2023-07-14,2023-07-15,5261,PAULS FRUIT MARKET CHENOW,Merchandise,9.42,
2023-07-14,2023-07-15,5261,AMZN Mktp US*ER0795I43,Merchandise,7.41,
2023-07-14,2023-07-15,5261,AMZN Mktp US*1X7HR4F13,Merchandise,38.25,
2023-07-13,2023-07-15,5261,TST* Grassa Gramma,Dining,63.0,
2023-07-13,2023-07-15,5261,PY *WEST SIXTH NULU,Dining,55.11,
2023-07-13,2023-07-15,5261,PY *WEST SIXTH NULU,Dining,46.11,
2023-07-15,2023-07-15,13,LYFT *RIDE FRI 11PM,Other Travel,10.0,
