Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-12-28,2023-12-28 00:00:00,936,Amazon.com*MH0VK8JM3,Merchandise,107.54,
2023-12-24,2023-12-26 00:00:00,936,LEVELUPHEINEBROTHERS0,Dining,7.99,
2023-12-24,2023-12-26 00:00:00,936,SPEEDWAY 09685 LOUISVI,Gas/Automotive,34.78,
2023-12-24,2023-12-26 00:00:00,936,FSP*FLEET FEET LOUISVI,Healthcare,37.1,
2023-12-23,2023-12-23 00:00:00,936,DWB*DOCTORS W/O BORDER,Other Services,40.0,
2023-12-22,2023-12-23 00:00:00,936,TARGET        00007807,Merchandise,16.11,
2023-12-20,2023-12-22 00:00:00,936,SHEETZ 0387   00003871,Gas/Automotive,31.61,
2023-12-20,2023-12-22 00:00:00,936,SHEETZ 0387   00003871,Gas/Automotive,6.27,
2023-12-20,2023-12-21 00:00:00,936,DUNKIN #349677,Dining,6.03,
2023-12-18,2023-12-19 00:00:00,936,SHEPHERD S,Merchandise,18.5,
2023-12-17,2023-12-18 00:00:00,936,JIMMY JOHNS - 2816,Dining,10.11,
2023-12-17,2023-12-18 00:00:00,936,TARGET        00012187,Merchandise,9.37,
2023-12-17,2023-12-19 00:00:00,936,CIRCLE K 05266,Merchandise,4.71,
2023-12-17,2023-12-18 00:00:00,936,CIRCLE K 05266,Gas/Automotive,21.94,
2023-12-16,2023-12-18 00:00:00,936,IHOP 3324,Dining,20.43,
2023-12-16,2023-12-18 00:00:00,936,KROGER FUEL #8379,Gas/Automotive,29.95,
2023-12-16,2023-12-18 00:00:00,936,TARGET        00007807,Merchandise,27.85,
2023-12-16,2023-12-16 00:00:00,936,AMZN Mktp US*C241L6333,Merchandise,20.12,
2023-12-15,2023-12-16 00:00:00,936,TARGET        00024737,Merchandise,42.39,
2023-12-14,2023-12-15 00:00:00,936,AMZN Mktp US*6C93A8WY3,Merchandise,21.19,
2023-12-14,2023-12-15 00:00:00,936,OLIVE GARDEN ZK 002449,Dining,67.02,
2023-12-13,2023-12-15 00:00:00,936,2768PEPSIVEN9147678600,Dining,3.5,
2023-12-13,2023-12-14 00:00:00,936,TARGET        00014472,Merchandise,38.67,
2023-12-12,2023-12-13 00:00:00,936,KROGER #402,Merchandise,2.41,
2023-12-12,2023-12-13 00:00:00,936,WILLIS MUSIC KENWOOD G,Merchandise,7.54,
2023-12-10,2023-12-12 00:00:00,936,XAVIER U CAMPUS STORE1,Merchandise,0.59,
2023-12-10,2023-12-11 00:00:00,936,WARNER MUSIC GROUP,Merchandise,41.33,
2023-12-09,2023-12-11 00:00:00,936,Subway 18103,Dining,7.19,
2023-12-09,2023-12-11 00:00:00,936,TARGET        00014472,Merchandise,16.16,
2023-12-09,2023-12-09 00:00:00,936,Amazon.com*Y56ZR7243,Merchandise,34.39,
2023-12-07,2023-12-08 00:00:00,936,2264 GREAT CLIPS AT NO,Other Services,23.0,
2023-12-07,2023-12-08 00:00:00,936,KROGER #465,Merchandise,38.67,
2023-12-05,2023-12-06 00:00:00,936,CVS/PHARMACY #02764,Health Care,50.25,
2023-12-03,2023-12-04 00:00:00,936,DUNKIN #349949,Dining,4.54,
2023-12-03,2023-12-04 00:00:00,936,KROGER #402,Merchandise,5.39,
2023-12-03,2023-12-04 00:00:00,936,CAPITAL ONE ONLINE PYMT,Payment/Credit,,1002.52
2023-12-03,2023-12-04 00:00:00,936,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,25.0
2023-12-02,2023-12-04 00:00:00,936,CAPPYS NORWOOD,Merchandise,3.89,
2023-12-02,2023-12-05 00:00:00,936,MARATHON PETRO120170,Gas/Automotive,32.12,
2023-12-02,2023-12-04 00:00:00,936,KROGER #355,Merchandise,2.51,
2023-12-01,2023-12-02 00:00:00,936,TROPICAL SMOOTHIE CAFE,Dining,16.08,
2023-12-01,2023-12-02 00:00:00,936,TARGET        00014472,Merchandise,52.85,
2023-12-01,2023-12-02 00:00:00,936,SLUGGERGIFTS.COM,Entertainment,94.33,
2023-12-01,2023-12-02 00:00:00,936,TARGET 00014472,Merchandise,52.85,
2023-12-01,2023-12-02 00:00:00,936,SLUGGERGIFTS.COM,Other,94.33,
2023-11-30,2023-12-01 00:00:00,936,PANERA BREAD #204900 P,Dining,15.64,
2023-11-29,2023-11-30 00:00:00,936,AMZN Mktp US*LF8J41ML3,Merchandise,16.16,
